animals,downloaded_ts,json_generated_ts
dog,2026-07-18 19:21:16,2026-07-20 15:30:00
cat,2026-07-18 19:21:17,2026-07-20 15:30:00
rabbit,2026-07-18 19:21:18
hamster,2026-07-18 19:21:20
squirrel,2026-07-18 19:21:21
kangaroo,2026-07-18 19:21:22
koala,2026-07-18 19:21:23
panda,2026-07-18 19:21:24
red panda,2026-07-18 19:21:25
sloth,2026-07-18 19:21:26
otter,2026-07-18 19:21:27
raccoon,2026-07-18 19:21:28
fox,2026-07-18 19:21:29
wolf,2026-07-18 19:21:30
bear,2026-07-18 19:21:31
polar bear,2026-07-18 19:21:31
hedgehog,2026-07-18 19:21:33
chinchilla,2026-07-18 19:21:34
ferret,2026-07-18 19:21:35
hippopotamus,2026-07-18 19:21:36
rhinoceros,2026-07-18 19:21:37
camel,2026-07-18 19:21:38
llama,2026-07-18 19:21:39
alpaca,2026-07-18 19:21:40
pig,2026-07-18 19:21:41
sheep,2026-07-18 19:21:42
goat,2026-07-18 19:21:43
cow,2026-07-18 19:21:43
chicken,2026-07-18 19:21:44
duck,2026-07-18 19:21:46
owl,2026-07-18 19:21:46
penguin,2026-07-18 19:21:47
cheetah,2026-07-18 21:15:02
lion,2026-07-18 21:15:02
elephant,2026-07-18 21:15:03
giraffe,2026-07-18 21:15:04
zebra,2026-07-18 21:15:04
tiger,2026-07-20 12:32:31
leopard,2026-07-20 12:32:32
jaguar,2026-07-20 12:32:33
gorilla,2026-07-20 12:32:35
chimpanzee,2026-07-20 12:32:36
deer,2026-07-20 12:32:38
moose,2026-07-20 12:32:39
bison,2026-07-20 12:32:40
beaver,2026-07-20 12:32:41
meerkat,2026-07-20 12:32:42
armadillo,2026-07-20 12:32:43
platypus,2026-07-20 12:32:44
flamingo,2026-07-20 12:32:45
peacock,2026-07-20 12:32:46
dolphin,2026-07-20 12:32:47
